Register,raw_uint16,raw_int16,hex,best_guess_interpretation,Notes
32108,172,172,0x00ac,Unknown — possibly a temperature or current value,"172×0.1=17.2°C or 172×0.01=1.72A"
32109,2,2,0x0002,Unknown — possibly inverter state sub-field or mode,"Value 2"
32110,3,3,0x0003,Unknown — possibly pack count or connection status,"Value 3; in the same block as 32109"
32111,2,2,0x0002,Unknown,"Value 2; symmetric with 32109"
32201,2398,2398,0x095e,Likely AC current (×0.01 = 23.98 A) — README only lists for e_v12 but present on D,"Pair with 32200=2398 (AC voltage 239.8V); consistent"
34000,4982,4982,0x1376,Likely pack 1 total voltage (×0.01 = 49.82 V),"Not in README for D explicitly; but value is very consistent with a pack voltage"
34001,0,0,0x0000,Likely pack 1 current (0 A),"Paired with 34000 pack voltage; 0 = no current flow at measurement time"
34004,0,0,0x0000,Unknown — possibly pack 1 power (0 W),"Adjacent to soc/cycle registers; zero at time of scan"
34005,3119,3119,0x0c2f,Likely pack 1 max cell voltage (×0.001 = 3.119 V),"3.119V is a very typical LFP cell voltage; pair with 34006"
34006,3112,3112,0x0c28,Likely pack 1 min cell voltage (×0.001 = 3.112 V),"3.112V LFP cell; spread = 7mV = healthy pack"
34007,0,0,0x0000,Unknown,"Zero; filler or unused"
34008,0,0,0x0000,Unknown,"Zero"
34009,0,0,0x0000,Unknown,"Zero"
34010,116,116,0x0074,Likely pack 1 ambient/board temperature (×0.1 = 11.6 °C),"11.6°C plausible for battery ambient; compare pack2 at 34110=116 → same"
34011,246,246,0x00f6,Likely pack 1 max cell temperature (×0.1 = 24.6 °C),"24.6°C plausible; compare pack2 at 34111=235 → 23.5°C"
34012,179,179,0x00b3,Likely pack 1 cell temperature sensor 1 (×0.1 = 17.9 °C),"LFP cell temp sensor"
34013,170,170,0x00aa,Likely pack 1 cell temperature sensor 2 (×0.1 = 17.0 °C),""
34014,170,170,0x00aa,Likely pack 1 cell temperature sensor 3 (×0.1 = 17.0 °C),""
34015,168,168,0x00a8,Likely pack 1 cell temperature sensor 4 (×0.1 = 16.8 °C),""
34016,168,168,0x00a8,Likely pack 1 cell temperature sensor 5 (×0.1 = 16.8 °C),""
34017,0,0,0x0000,Unknown — possibly pack 1 fault/alarm bits,"Zero = no fault"
35011,214,214,0x00d6,Likely min cell temperature (×0.1 = 21.4 °C),"Adjacent to max_cell_temperature (35010=216=21.6°C); likely min counterpart"
35110,576,576,0x0240,Unknown — possibly rated capacity (Wh or 0.1Wh),"576×0.1=57.6 or 576 raw; could be battery capacity register"
35111,500,500,0x01f4,Possibly max charge power limit (W) = 500W,"500W is a typical conservative charge setpoint"
35112,500,500,0x01f4,Possibly max discharge power limit (W) = 500W,"Symmetric with 35111"
37000,1,1,0x0001,Unknown — possibly grid-tie status or inverter enable flag,"Value 1 = enabled/connected?"
37001,0,0,0x0000,Unknown,"Zero"
37002,0,0,0x0000,Unknown","Zero"
37003,0,0,0x0000,Unknown","Zero"
37005,90,90,0x005a,Possible grid frequency or backup voltage threshold (×0.1 = 9.0 Hz?) — unlikely,"90×0.1=9.0 or 90 raw; unclear"
37006,252,252,0x00fc,Unknown — possibly a power or temperature value (×0.1 = 25.2)","25.2°C or 25.2W?"
37009,0,0,0x0000,Unknown","Zero"
37010,0,0,0x0000,Unknown","Zero"
37011,0,0,0x0000,Unknown","Zero"
37012,116,116,0x0074,Unknown — possibly temperature (×0.1 = 11.6°C) mirrors 34010","Same value as 34010; may be a duplicate read or related sensor"
37013,0,0,0x0000,Unknown","Zero"
37014,0,0,0x0000,Unknown","Zero"
37015,0,0,0x0000,Unknown","Zero"
37016,2382,2382,0x094e,Possible daily energy counter or fault status field","2382; unclear unit; 23.82 kWh (×0.01)?"
37017,0,0,0x0000,Unknown","Zero"
37018,0,0,0x0000,Unknown","Zero"
37019,0,0,0x0000,Unknown","Zero"
37020,0,0,0x0000,Unknown","Zero"
37021,0,0,0x0000,Unknown","Zero"
37022,544,544,0x0220,Unknown — possibly PV power or DC link value","544W (×1) or 54.4 (×0.1)?"
37023,0,0,0x0000,Unknown","Zero"
37024,0,0,0x0000,Unknown","Zero"
